Year,Month,Day,Variety,Rate,Unit,Rep,Height_cm,Sex
2023,June,14,IH Willaims,200,101,1,54,V (Vegative)
2023,June,14,IH Willaims,200,101,2,59,V (Vegative)
2023,June,14,IH Willaims,200,101,3,82,V (Vegative)
2023,June,14,IH Willaims,200,101,4,62,V (Vegative)
2023,June,14,IH Willaims,200,101,5,58,V (Vegative)
2023,June,14,IH Willaims,200,101,6,66,V (Vegative)
2023,June,14,IH Willaims,200,101,7,64,V (Vegative)
2023,June,14,IH Willaims,200,101,8,45,V (Vegative)
2023,June,14,IH Willaims,200,101,9,55,V (Vegative)
2023,June,14,IH Willaims,200,101,10,56,V (Vegative)
2023,June,14,IH Willaims,150,102,1,98,V (Vegative)
2023,June,14,IH Willaims,150,102,2,75,V (Vegative)
2023,June,14,IH Willaims,150,102,3,70,V (Vegative)
2023,June,14,IH Willaims,150,102,4,65,V (Vegative)
2023,June,14,IH Willaims,150,102,5,86,V (Vegative)
2023,June,14,IH Willaims,150,102,6,55,V (Vegative)
2023,June,14,IH Willaims,150,102,7,60,V (Vegative)
2023,June,14,IH Willaims,150,102,8,93,V (Vegative)
2023,June,14,IH Willaims,150,102,9,84,V (Vegative)
2023,June,14,IH Willaims,150,102,10,97,V (Vegative)
2023,June,14,IH Willaims,100,103,1,60,V (Vegative)
2023,June,14,IH Willaims,100,103,2,74,V (Vegative)
2023,June,14,IH Willaims,100,103,3,84,V (Vegative)
2023,June,14,IH Willaims,100,103,4,92,V (Vegative)
2023,June,14,IH Willaims,100,103,5,90,V (Vegative)
2023,June,14,IH Willaims,100,103,6,88,V (Vegative)
2023,June,14,IH Willaims,100,103,7,69,V (Vegative)
2023,June,14,IH Willaims,100,103,8,70,V (Vegative)
2023,June,14,IH Willaims,100,103,9,68,V (Vegative)
2023,June,14,IH Willaims,100,103,10,66,V (Vegative)
2023,June,14,IH Willaims,0,104,1,28,V (Vegative)
2023,June,14,IH Willaims,0,104,2,23,V (Vegative)
2023,June,14,IH Willaims,0,104,3,40,V (Vegative)
2023,June,14,IH Willaims,0,104,4,37,V (Vegative)
2023,June,14,IH Willaims,0,104,5,39,V (Vegative)
2023,June,14,IH Willaims,0,104,6,44,V (Vegative)
2023,June,14,IH Willaims,0,104,7,30,V (Vegative)
2023,June,14,IH Willaims,0,104,8,26,V (Vegative)
2023,June,14,IH Willaims,0,104,9,34,V (Vegative)
2023,June,14,IH Willaims,0,104,10,43,V (Vegative)
2023,June,14,IH Willaims,200,105,1,92,V (Vegative)
2023,June,14,IH Willaims,200,105,2,80,V (Vegative)
2023,June,14,IH Willaims,200,105,3,84,V (Vegative)
2023,June,14,IH Willaims,200,105,4,64,V (Vegative)
2023,June,14,IH Willaims,200,105,5,103,V (Vegative)
