Plot,Fert Rate(N lbs/per Acre),Date Taken,Unit,Plant 1,Plant 2,Plant 3,Plant 4,Plant 5,Plant 6,Plant 7,Plant 8,Plant 9,Plant 10,,,,,,
101,200,2023-14-6,cm,54,59,82,62,58,66,64,45,55,56,,,,,,
102,150,2023-14-6,cm,98,75,70,65,86,55,60,93,84,97,,,,,,_
103,100,2023-14-6,cm,60,74,84,92,90,88,69,70,68,66,,,,,,
104,0,2023-14-6,cm,28,23,40,37,39,44,30,26,34,43,,,,,,
105,200,2023-14-6,cm,92,80,84,64,103,116,73,92,104,115,,,,,,
106,150,2023-14-6,cm,84,110,113,80,95,103,70,57,60,58,,,,,,
201,100,2023-14-6,cm,95,88,85,71,65,56,64,57,68,88,,,,,,
202,0,2023-14-6,cm,20,34,37,18,17,30,13,15,26,13,,,,,,
203,200,2023-14-6,cm,79,82,87,82,45,44,52,98,90,96,,,,,,
204,150,2023-14-6,cm,84,90,100,88,83,50,80,83,90,92,,,,,,
205,100,2023-14-6,cm,105,82,95,105,102,85,103,87,94,105,,,,,,
206,0,2023-14-6,cm,56,45,29,28,40,23,25,19,13,29,,,,,,
301,0,2023-14-6,cm,22,32,19,28,22,17,16,25,24,22,,,,,,
302,100,2023-14-6,cm,70,83,81,82,84,101,79,54,86,73,,,,,,
303,150,2023-14-6,cm,101,83,72,84,68,69,52,72,87,87,,,,,,
304,200,2023-14-6,cm,80,91,93,115,94,84,50,85,86,71,,,,,,
305,0,2023-14-6,cm,28,37,33,30,28,29,42,41,32,20,,,,,,
306,100,2023-14-6,cm,76,70,85,62,59,36,60,37,68,50,,,,,,
401,150,2023-14-6,cm,61,72,77,84,85,59,68,40,54,59,,,,,,
402,200,2023-14-6,cm,105,92,90,89,96,99,78,94,77,82,,,,,,
403,0,2023-14-6,cm,29,32,34,36,15,31,53,36,51,35,,,,,,
404,100,2023-14-6,cm,104,92,88,79,83,95,76,65,71,72,,,,,,
405,150,2023-14-6,cm,86,81,93,66,74,73,76,59,69,67,,,,,,
406,200,2023-14-6,cm,78,85,98,106,79,77,86,76,97,82,,,,,,
